Subject,Start Date,Start Time,End Date,End Time,Description,Location
"Теория случайных процессов, (Лекция)",18.02.2025,14:00,18.02.2025,15:30,"3 корпус - 331, Тихонов Сергей Викторович",
"Эконометрика и эконометрическое моделирование, (Лекция)",18.02.2025,15:40,18.02.2025,17:10,"3 корпус - 212, Тихомирова Татьяна Михайловна",
"Модели временных рядов, (Лекция)",18.02.2025,17:20,18.02.2025,18:50,"3 корпус - 307, Тихомирова Татьяна Михайловна",
"Теория случайных процессов, (Практическое занятие)",21.02.2025,11:50,21.02.2025,13:20,"9 корпус - 4.13, Тихонов Сергей Викторович",
"Модели временных рядов, (Практическое занятие)",21.02.2025,14:00,21.02.2025,15:30,"9 корпус - 4.12, Тихомирова Татьяна Михайловна",
"Эконометрика и эконометрическое моделирование, (Практическое занятие)",21.02.2025,15:40,21.02.2025,17:10,"9 корпус - 6.15, Тихомирова Татьяна Михайловна",
"Элективные дисциплины по физической культуре и спорту, (Практическое занятие)",21.02.2025,17:20,21.02.2025,18:50,"5 корпус - с/з №5, Сысоева Елена Юрьевна",
"Технологии машинного обучения, (Лекция)",22.02.2025,8:30,22.02.2025,10:00,"3 корпус - 307, Моисеев Никита Александрович",
"Методы и компьютерные технологии имитационного моделирования, (Лекция)",22.02.2025,10:10,22.02.2025,11:40,"3 корпус - 307, Свиридова Ольга Александровна",
"Теория риска, (Лекция)",22.02.2025,11:50,22.02.2025,13:20,"3 корпус - 307, Тихомиров Николай Петрович",
